personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
26313,26313,553615,28137,65446,M,N,N,2016.0,,10,0.0
14641,14641,553615,60603,0,M,N,N,1995.0,,8,21.0
62374,62374,553615,0,0,M,N,N,1914.0,,6,102.0
6179,6179,553615,0,0,M,N,N,,,8,
4722,4722,555244,0,0,F,Y,N,1895.0,1978.0,4,83.0
4724,4724,555244,13718,13722,M,Y,N,1895.0,1945.0,4,50.0
8375,8375,555244,0,0,F,Y,N,1879.0,1950.0,4,71.0
8376,8376,555244,53666,53667,M,Y,N,1882.0,1959.0,4,77.0
14009,14009,555244,0,0,M,Y,N,1858.0,1944.0,3,86.0
14013,14013,555244,16631,26018,F,Y,N,1857.0,1946.0,3,89.0
14014,14014,555244,0,0,M,Y,N,1853.0,1942.0,3,89.0
14015,14015,555244,16631,26018,F,Y,N,1867.0,1947.0,3,80.0
26018,26018,555244,0,0,M,Y,N,1819.0,1879.0,2,60.0
26442,26442,555244,0,0,M,Y,N,1892.0,1929.0,5,37.0
26443,26443,555244,45236,45237,F,Y,N,1894.0,1937.0,5,43.0
31281,31281,555244,1732,1731,F,N,N,1939.0,,6,77.0
32726,32726,555244,0,0,M,Y,N,1904.0,1947.0,4,43.0
32727,32727,555244,65284,65285,F,Y,N,1893.0,1982.0,4,89.0
32734,32734,555244,0,0,M,Y,N,1915.0,1966.0,5,51.0
45061,45061,555244,0,0,M,Y,N,1892.0,1981.0,4,89.0
45062,45062,555244,13718,13722,F,Y,N,1890.0,1960.0,4,70.0
45231,45231,555244,45243,45244,F,Y,N,1860.0,1916.0,3,56.0
45233,45233,555244,0,0,M,Y,N,1859.0,1890.0,3,31.0
45236,45236,555244,45231,45233,F,Y,N,1878.0,1937.0,4,59.0
45237,45237,555244,0,0,M,Y,N,1871.0,1955.0,4,84.0
45238,45238,555244,45231,45233,M,Y,N,1889.0,1948.0,4,59.0
45239,45239,555244,0,0,F,Y,N,1886.0,1952.0,4,66.0
45241,45241,555244,45231,45233,M,Y,N,1886.0,1958.0,4,72.0
45242,45242,555244,0,0,F,Y,N,1889.0,1960.0,4,71.0
45243,45243,555244,0,0,F,Y,N,1834.0,1902.0,2,68.0
45244,45244,555244,16633,16635,M,Y,N,1826.0,1889.0,2,63.0
45245,45245,555244,45231,45233,M,Y,N,1875.0,1941.0,4,66.0
45246,45246,555244,0,0,F,Y,N,1887.0,1947.0,4,60.0
45251,45251,555244,45231,45233,M,Y,N,1891.0,1951.0,4,60.0
45252,45252,555244,0,0,F,Y,N,1897.0,1964.0,4,67.0
45253,45253,555244,45231,45233,F,Y,N,1896.0,1929.0,4,33.0
45254,45254,555244,0,0,M,Y,N,1877.0,1949.0,4,72.0
45685,45685,555244,19476,19474,M,Y,N,1894.0,1978.0,4,84.0
13718,13718,555244,0,0,F,Y,N,1868.0,1911.0,3,43.0
13722,13722,555244,45243,45244,M,Y,N,1856.0,1937.0,3,81.0
57683,57683,555244,0,0,F,Y,N,1889.0,1978.0,4,89.0
57684,57684,555244,14013,14009,M,Y,N,1884.0,1945.0,4,61.0
65284,65284,555244,0,0,F,Y,N,1878.0,1938.0,3,60.0
65285,65285,555244,45243,45244,M,Y,N,1870.0,1951.0,3,81.0
67386,67386,555244,0,0,M,Y,N,1877.0,1949.0,4,72.0
67395,67395,555244,53666,53667,F,Y,N,1878.0,1956.0,4,78.0
3478,3478,555244,0,0,M,Y,N,1918.0,1951.0,5,33.0
10197,10197,555244,0,0,M,Y,N,1912.0,1990.0,5,78.0
10198,10198,555244,67395,67386,F,Y,N,1909.0,1985.0,5,76.0
10741,10741,555244,0,0,F,Y,N,1890.0,1969.0,4,79.0
10745,10745,555244,19476,19474,M,Y,N,1880.0,1951.0,4,71.0
13830,13830,555244,45242,45241,F,Y,N,1922.0,1977.0,5,55.0
15441,15441,555244,26218,26227,F,Y,N,1911.0,1998.0,4,87.0
15750,15750,555244,0,0,F,N,N,1905.0,,5,111.0
15751,15751,555244,45236,45237,M,Y,N,1903.0,1983.0,5,80.0
20885,20885,555244,0,0,F,Y,N,1895.0,1911.0,4,16.0
20886,20886,555244,53666,53667,M,Y,N,1885.0,1955.0,4,70.0
